,,,,,,,,,,,,,
,,,,,,,,,,,,,
 Veh 1 Color, Veh 1 Speed, Veh 1 Distance, Veh 1 Deviation, Veh 1 Integral, Veh 1 Derivative, Veh 1 Angle, Veh 2 Color, Veh 2 Speed, Veh 2 Distance, Veh 2 Deviation, Veh 2 Integral, Veh 2 Derivative, Veh 2 Angle
44,90.5,1854,6.5,0,6.5,5.85,41,90,321,1,0,1,1.1
49,91,1848,11.5,11.5,5,8.25,52,90,326,12,12,11,13.9
52,91.5,1824,14.5,26,3,9.9,38,90,326,-2,0,-14,-8.2
53,92,1791,15.5,41.5,1,10.85,30,90,326,-10,-10,-8,-11
26,92.5,1791,-11.5,0,-27,-18.1,50,90,321,10,0,20,16
43,93,1791,5.5,0,17,10.7,38,94.5,424,-2,0,-12,-7.2
51,93.5,1740,13.5,13.5,8,10.75,31,99.225,424,-9,0,-7,-8.9
46,94,1761,8.5,0,-5,0.9,47,104.18625,424,7,0,16,12.2
52,94.5,1761,14.5,14.5,6,10.25,43,109.3955625,424,3,0,-4,-0.2
67,95,1761,29.5,44,15,23.7,34,114.8653406,376,-6,0,-9,-8.1
67,95.5,1700,29.5,73.5,0,19.15,39,120.6086077,348,-1,0,5,1.9
55,96,1555,17.5,91,-12,10.1,41,90,326,1,0,2,1.6
57,96.5,1597,19.5,110.5,2,19.85,40,90,326,0,0,-1,-0.5
58,97,1657,20.5,131,1,21.8,43,90,326,3,0,3,3.3
54,97.5,1649,16.5,147.5,-4,19.35,39,90,326,-1,0,-4,-2.6
55,98,2550,17.5,165,1,24,36,90,326,-4,0,-3,-3.9
44,98.5,2550,6.5,0,-11,-2.9,38,90,326,-2,0,2,-0.2
47,99,2550,9.5,0,3,5.3,41,90,326,1,0,3,2.1
70,99.5,1542,32.5,32.5,23,27.75,40,94.5,800,0,0,-1,-0.5
74,100,736,36.5,69,4,23.5,39,99.225,792,-1,0,-1,-1.1
75,100.5,1498,37.5,106.5,1,26.15,43,104.18625,786,3,0,4,3.8
26,101,2550,-11.5,0,-49,-29.1,43,109.3955625,789,3,0,0,1.8
34,101.5,2550,-3.5,0,8,2.6,40,114.8653406,839,0,0,-3,-1.5
67,102,1015,29.5,0,33,28.3,35,120.6086077,816,-5,0,-5,-5.5
61,102.5,2550,23.5,23.5,-6,8.75,44,126.639038,780,4,0,9,6.9
54,103,2550,16.5,40,-7,7.1,42,90,326,2,0,-2,0.2
55,103.5,2550,17.5,57.5,1,13.25,41,90,326,1,0,-1,0.1
56,104,2550,18.5,76,1,15.5,39,90,326,-1,0,-2,-1.6
56,104.5,2550,18.5,94.5,0,16.85,41,90,326,1,0,2,1.6
55,105,2550,17.5,112,-1,17.7,43,90,326,3,0,2,2.8
58,105.5,899,20.5,132.5,3,22.95,42,94.5,764,2,0,-1,0.7
61,106,2550,23.5,156,3,26.5,47,99.225,756,7,0,5,6.7
61,106.5,2550,23.5,179.5,0,27.35,35,104.18625,772,-5,0,-12,-9
57,107,2550,19.5,199,-4,25.7,37,109.3955625,772,-3,0,2,-0.8
53,107.5,2550,15.5,214.5,-4,25.65,50,114.8653406,772,10,0,13,12.5
41,108,2550,3.5,0,-12,-4.6,33,120.6086077,772,-7,0,-17,-12.7
39,108.5,1890,1.5,0,-2,-0.4,41,126.639038,772,1,0,8,4.6
52,109,2550,14.5,14.5,13,13.75,39,132.9709899,537,-1,0,-2,-1.6
58,109.5,2550,20.5,35,6,14.7,33,139.6195394,2550,-7,0,-6,-7.2
56,110,2550,18.5,53.5,-2,11.75,57,146.6005164,2550,17,0,24,22.2
54,110.5,2550,16.5,70,-2,12.6,34,153.9305422,2550,-6,0,-23,-15.1
33,111,2550,-4.5,0,-21,-12.3,24,161.6270693,2550,-16,-16,-10,-16.2
35,111.5,2550,-2.5,0,2,0,50,90,326,10,0,26,19
46,112,2550,8.5,0,11,8.9,57,90,326,17,17,7,15.4
43,112.5,2550,5.5,0,-3,0.7,32,94.5,2550,-8,0,-25,-17.3
43,113,2550,5.5,0,0,2.2,40,99.225,2550,0,0,8,4
39,113.5,2550,1.5,0,-4,-1.4,51,104.18625,1988,11,11,11,13.2
39,114,2550,1.5,0,0,0.6,36,109.3955625,1849,-4,0,-15,-9.9
39,114.5,2550,1.5,0,0,0.6,38,114.8653406,1910,-2,0,2,-0.2
39,115,2550,1.5,0,0,0.6,40,120.6086077,1912,0,0,2,1
39,115.5,2550,1.5,0,0,0.6,36,126.639038,1805,-4,0,-4,-4.4
42,90,357,4.5,0,3,3.3,43,132.9709899,1856,3,0,7,5.3
39,90,334,1.5,0,-3,-0.9,42,139.6195394,1843,2,0,-1,0.7
38,90,326,0.5,0,-1,-0.3,36,146.6005164,1762,-4,0,-6,-5.4
38,90,321,0.5,0,0,0.2,42,153.9305422,1762,2,0,6,4.2
41,90,326,3.5,0,3,2.9,33,161.6270693,1762,-7,0,-9,-8.7
44,90.5,2550,6.5,0,3,4.1,52,165,1762,12,0,19,16.7
27,91,2550,-10.5,0,-17,-12.7,61,165,1762,21,21,9,19.2
27,91.5,2550,-10.5,-10.5,0,-5.25,78,165,1762,38,59,17,37.2
41,92,2550,3.5,0,14,8.4,67,165,1762,27,86,-11,19.3
42,92.5,2550,4.5,0,1,2.3,62,165,348,22,108,-5,21.5
38,93,2550,0.5,0,-4,-1.8,69,90,2550,29,137,7,34.6
33,93.5,2550,-4.5,0,-5,-4.3,71,90,2550,31,168,2,36.4
34,94,2550,-3.5,0,1,-0.9,35,90,2550,-5,0,-36,-21
37,94.5,2550,-0.5,0,3,1.3,63,94.5,2550,23,0,28,27.8
39,95,2550,1.5,0,2,1.6,78,99.225,2550,38,38,15,34.1
40,95.5,2550,2.5,0,1,1.5,64,104.18625,1511,24,62,-14,13.6
38,96,2550,0.5,0,-2,-0.8,42,109.3955625,2550,2,0,-22,-9.8
44,96.5,2550,6.5,0,6,5.6,51,114.8653406,2550,11,11,9,12.2
38,97,2550,0.5,0,-6,-2.8,62,120.6086077,2550,22,33,11,22
31,97.5,2550,-6.5,0,-7,-6.1,40,126.639038,2550,0,0,-22,-11
38,98,2550,0.5,0,7,3.7,55,132.9709899,2550,15,15,15,18
39,98.5,2550,1.5,0,1,1.1,65,139.6195394,2550,25,40,10,24
33,99,2550,-4.5,0,-6,-4.8,65,146.6005164,2550,25,65,0,21.5
35,99.5,2550,-2.5,0,2,0,65,153.9305422,2550,25,90,0,24
44,100,2550,6.5,0,9,7.1,66,161.6270693,2550,26,116,1,27.7
45,100.5,2550,7.5,0,1,3.5,72,90,2550,32,148,6,37
29,101,2550,-8.5,0,-16,-11.4,69,90,2550,29,177,-3,33.6
37,101.5,2550,-0.5,0,8,3.8,64,90,2550,24,201,-5,32
42,102,2550,4.5,0,5,4.3,38,90,2550,-2,0,-26,-14.2
31,102.5,2550,-6.5,0,-11,-8.1,47,94.5,2550,7,0,9,8.7
33,103,2550,-4.5,0,2,-0.8,57,99.225,2550,17,17,10,16.9
41,103.5,2550,3.5,0,8,5.4,57,104.18625,643,17,34,0,13.6
36,104,2550,-1.5,0,-5,-3.1,57,109.3955625,632,17,51,0,15.3
33,104.5,1709,-4.5,0,-3,-3.3,37,114.8653406,654,-3,0,-20,-11.8
40,105,2550,2.5,0,7,4.5,56,120.6086077,626,16,0,19,19.1
45,105.5,2550,7.5,0,5,5.5,57,126.639038,624,17,17,1,12.4
38,106,1694,0.5,0,-7,-3.3,28,132.9709899,624,-12,0,-29,-21.7
36,106.5,2550,-1.5,0,-2,-1.6,49,139.6195394,617,9,0,21,15.9
41,107,1957,3.5,0,5,3.9,44,146.6005164,607,4,0,-5,-0.1
42,107.5,2550,4.5,0,1,2.3,43,153.9305422,598,3,0,-1,1.3
34,108,2550,-3.5,0,-8,-5.4,41,161.6270693,607,1,0,-2,-0.4
36,108.5,2550,-1.5,0,2,0.4,40,165,609,0,0,-1,-0.5
38,109,2550,0.5,0,2,1.2,46,165,563,6,0,6,6.6
40,109.5,2550,2.5,0,2,2,35,165,357,-5,0,-11,-8.5
42,110,2550,4.5,0,2,2.8,40,165,553,0,0,5,2.5
37,110.5,2550,-0.5,0,-5,-2.7,48,165,537,8,0,8,8.8
38,111,2550,0.5,0,1,0.7,35,165,525,-5,0,-13,-9.5
38,111.5,2550,0.5,0,0,0.2,39,165,518,-1,0,4,1.4
43,112,2550,5.5,0,5,4.7,48,90,326,8,0,9,9.3
56,112.5,2550,18.5,18.5,13,15.75,57,94.5,491,17,17,9,16.4
48,113,2550,10.5,29,-8,3.1,11,99.225,504,-29,0,-46,-40.4
43,113.5,2550,5.5,0,-5,-0.3,34,104.18625,498,-6,0,23,7.9
58,114,2550,20.5,20.5,15,17.75,63,109.3955625,500,23,0,29,28.3
61,90,391,23.5,44,3,15.3,32,114.8653406,510,-8,0,-31,-20.3
61,90,383,23.5,67.5,0,16.15,25,120.6086077,500,-15,-15,-7,-14
56,90.5,1265,18.5,86,-5,13.5,62,126.639038,490,22,0,37,31.7
56,91,1253,18.5,104.5,0,17.85,59,132.9709899,481,19,19,-3,11.8
58,91.5,1267,20.5,125,2,21.7,14,139.6195394,483,-26,0,-45,-38.1
61,92,2456,23.5,148.5,3,25.75,44,146.6005164,510,4,0,30,17.4
63,92.5,2550,25.5,174,2,28.6,55,153.9305422,536,15,15,11,16
41,93,2550,3.5,0,-22,-9.6,28,161.6270693,460,-12,0,-27,-20.7
49,93.5,2550,11.5,11.5,8,9.75,42,165,437,2,0,14,8.2
70,94,2550,32.5,44,21,27.9,45,165,464,5,0,3,4.5
72,94.5,1468,34.5,78.5,2,22.65,39,165,454,-1,0,-6,-3.6
43,95,2550,5.5,0,-29,-12.3,34,165,424,-6,0,-5,-6.1
46,95.5,1443,8.5,0,3,4.9,45,165,403,5,0,11,8.5
61,96,2550,23.5,23.5,15,19.25,41,165,401,1,0,-4,-1.4
61,96.5,1366,23.5,47,0,14.1,37,165,384,-3,0,-4,-3.8
50,97,1362,12.5,59.5,-11,5.45,44,165,374,4,0,7,5.9
58,97.5,2550,20.5,80,8,20.2,40,165,361,0,0,-4,-2
56,98,2550,18.5,98.5,-2,16.25,45,165,338,5,0,5,5.5
47,98.5,2550,9.5,0,-9,-0.7,42,90,328,2,0,-3,-0.3
54,99,2550,16.5,16.5,7,11.75,42,90,326,2,0,0,1.2
68,99.5,2550,30.5,47,14,23.9,34,90,321,-6,0,-8,-7.6
66,100,2550,28.5,75.5,-2,17.95,39,90,326,-1,0,5,1.9
64,100.5,2550,26.5,102,-2,19.8,44,90,326,4,0,5,4.9
59,101,2550,21.5,123.5,-5,18.45,42,94.5,338,2,0,-2,0.2
53,101.5,2550,15.5,139,-6,17.1,38,90,330,-2,0,-4,-3.2
51,102,2550,13.5,152.5,-2,19.65,43,94.5,429,3,0,5,4.3
61,102.5,2550,23.5,176,10,32,41,99.225,349,1,0,-2,-0.4
57,103,2550,19.5,195.5,-4,25.35,41,104.18625,345,1,0,0,0.6
29,103.5,2550,-8.5,0,-28,-17.4,43,109.3955625,345,3,0,2,2.8
37,104,2550,-0.5,0,8,3.8,64,114.8653406,345,24,24,21,27.3
58,104.5,2550,20.5,0,21,18.7,50,120.6086077,429,10,34,-14,2.4
53,105,2550,15.5,15.5,-5,5.25,44,126.639038,383,4,0,-6,-0.6
47,105.5,2550,9.5,0,-6,0.8,64,132.9709899,391,24,24,20,26.8
49,106,2550,11.5,11.5,2,6.75,64,139.6195394,364,24,48,0,19.2
44,106.5,2550,6.5,0,-5,0.1,65,146.6005164,362,25,73,1,22.8
43,107,2550,5.5,0,-1,1.7,64,153.9305422,372,24,97,-1,23.6
49,107.5,2550,11.5,11.5,6,8.75,64,161.6270693,2457,24,121,0,26.5
54,108,2550,16.5,28,5,11.9,68,90,326,28,149,4,33.7
47,108.5,2550,9.5,0,-7,0.3,74,90,347,34,183,6,41.7
34,109,2550,-3.5,0,-13,-7.9,52,90,321,12,195,-22,15.7
36,109.5,2550,-1.5,0,2,0.4,13,90,321,-27,0,-39,-35.7
44,110,2550,6.5,0,8,6.6,74,90,321,34,0,61,50.9
43,90,395,5.5,0,-1,1.7,74,90,321,34,34,0,23.8
32,90,348,-5.5,0,-11,-7.7,11,90,321,-29,0,-63,-48.9
33,90,336,-4.5,0,1,-1.3,25,90,321,-15,-15,14,-3.5
49,90,326,11.5,0,16,12.6,67,94.5,1377,27,0,42,37.2
42,90,326,4.5,0,-7,-1.7,65,99.225,2550,25,25,-2,16.5
30,90,321,-7.5,0,-12,-9,62,104.18625,372,22,47,-3,16.4
36,90,326,-1.5,0,6,2.4,64,109.3955625,391,24,71,2,22.5
40,90,326,2.5,0,4,3,67,114.8653406,391,27,98,3,27.5
36,89,542,-1.5,0,-4,-2.6,57,120.6086077,349,17,115,-10,16.7
32,89,326,-5.5,0,-4,-4.2,57,90,326,17,132,0,23.4
38,89,326,0.5,0,6,3.2,52,90,321,12,144,-5,19.1
34,88,412,-3.5,0,-4,-3.4,25,90,321,-15,0,-27,-22.5
34,87,412,-3.5,0,0,-1.4,66,90,326,26,0,41,36.1
36,87.5,2222,-1.5,0,2,0.4,69,90,330,29,29,3,21.8
40,88,2201,2.5,0,4,3,57,90,321,17,46,-12,8.8
40,88.5,2181,2.5,0,0,1,67,90,321,27,73,10,28.5
42,89,1395,4.5,0,2,2.8,66,90,321,26,99,-1,25
33,89.5,823,-4.5,0,-9,-6.3,37,90,305,-3,0,-29,-16.3
38,90,1309,0.5,0,5,2.7,58,90,308,18,0,21,21.3
42,90.5,2122,4.5,0,4,3.8,57,90,308,17,17,-1,11.4
32,91,2101,-5.5,0,-10,-7.2,38,90,322,-2,0,-19,-10.7
36,91.5,2090,-1.5,0,4,1.4,47,90,322,7,0,9,8.7
36,92,2072,-1.5,0,0,-0.6,56,90,308,16,16,9,15.7
36,92.5,2056,-1.5,0,0,-0.6,45,90,298,5,0,-11,-2.5
38,93,2034,0.5,0,2,1.2,39,90,320,-1,0,-6,-3.6
41,93.5,2028,3.5,0,3,2.9,46,90,302,6,0,7,7.1
40,94,2013,2.5,0,-1,0.5,46,90,302,6,0,0,3.6
44,94.5,1992,6.5,0,4,4.6,40,90,320,0,0,-6,-3
40,95,1974,2.5,0,-4,-1,38,90,322,-2,0,-2,-2.2
36,95.5,1961,-1.5,0,-4,-2.6,50,90,326,10,0,12,12
37,96,1936,-0.5,0,1,0.3,36,90,322,-4,0,-14,-9.4
27,96.5,1938,-10.5,-10.5,-10,-10.25,40,90,321,0,0,4,2
50,97,1902,12.5,0,23,16.5,45,90,320,5,0,5,5.5
46,97.5,1890,8.5,0,-4,1.4,38,90,308,-2,0,-7,-4.7
21,98,1858,-16.5,0,-25,-19.1,39,90,302,-1,0,1,-0.1
46,98.5,1856,8.5,0,25,15.9,44,90,302,4,0,5,4.9
57,99,1829,19.5,19.5,11,15.25,39,90,308,-1,0,-5,-3.1
31,99.5,1815,-6.5,0,-26,-15.6,42,90,321,2,0,3,2.7
24,100,1794,-13.5,-13.5,-7,-10.25,42,90,303,2,0,0,1.2
43,100.5,1777,5.5,0,19,11.7,39,90,321,-1,0,-3,-2.1
42,101,1762,4.5,0,-1,1.3,37,90,322,-3,0,-2,-2.8
35,101.5,1744,-2.5,0,-7,-4.5,48,90,326,8,0,11,10.3
34,102,1726,-3.5,0,-1,-1.9,31,90,321,-9,0,-17,-13.9
41,102.5,1708,3.5,0,7,4.9,39,90,321,-1,0,8,3.4
38,103,1692,0.5,0,-3,-1.3,42,90,321,2,0,3,2.7
35,103.5,1670,-2.5,0,-3,-2.5,39,90,321,-1,0,-3,-2.1
40,104,1650,2.5,0,5,3.5,39,90,321,-1,0,0,-0.6
46,104.5,1633,8.5,0,6,6.4,42,90,326,2,0,3,2.7
37,105,1615,-0.5,0,-9,-4.7,42,90,321,2,0,0,1.2
36,105.5,1593,-1.5,0,-1,-1.1,39,90,326,-1,0,-3,-2.1
37,106,1579,-0.5,0,1,0.3,38,90,321,-2,0,-1,-1.7
38,106.5,1563,0.5,0,1,0.7,38,90,326,-2,0,0,-1.2
39,107,1547,1.5,0,1,1.1,43,90,328,3,0,5,4.3
33,107.5,1528,-4.5,0,-6,-4.8,40,94.5,347,0,0,-3,-1.5
37,108,1517,-0.5,0,4,1.8,43,90,321,3,0,3,3.3
51,108.5,1517,13.5,0,14,12.4,31,94.5,338,-9,0,-12,-11.4
57,109,1517,19.5,19.5,6,12.75,36,90,330,-4,0,5,0.1
60,109.5,1517,22.5,42,3,14.7,43,94.5,340,3,0,7,5.3
58,110,1517,20.5,62.5,-2,13.45,42,99.225,336,2,0,-1,0.7
60,110.5,1407,22.5,85,2,18.5,43,104.18625,340,3,0,1,2.3
62,111,1395,24.5,109.5,2,21.75,42,109.3955625,338,2,0,-1,0.7
64,111.5,1372,26.5,136,2,25.2,41,114.8653406,338,1,0,-1,0.1
66,112,1360,28.5,164.5,2,28.85,41,120.6086077,336,1,0,0,0.6
67,112.5,1343,29.5,194,1,31.7,43,90,328,3,0,2,2.8
68,113,1345,30.5,224.5,1,35.15,42,94.5,340,2,0,-1,0.7
61,113.5,1360,23.5,248,-7,30.7,44,99.225,353,4,0,2,3.4
22,114,2550,-15.5,0,-39,-25.7,46,90,328,6,0,2,4.6
25,114.5,2550,-12.5,-12.5,3,-4.75,24,94.5,353,-16,0,-22,-20.6
55,115,2550,17.5,0,30,22,54,99.225,353,14,0,30,23.4
57,115.5,2550,19.5,19.5,2,10.75,30,104.18625,355,-10,0,-24,-18
47,116,2550,9.5,0,-10,-1.2,55,109.3955625,372,15,0,25,21.5
52,116.5,2550,14.5,14.5,5,9.75,27,114.8653406,364,-13,0,-28,-21.8
58,117,2550,20.5,35,6,14.7,45,120.6086077,370,5,0,18,12
58,117.5,2550,20.5,55.5,0,13.75,37,126.639038,366,-3,0,-8,-5.8
57,118,2550,19.5,75,-1,14.8,38,132.9709899,392,-2,0,1,-0.7
57,118.5,2550,19.5,94.5,0,17.25,44,139.6195394,336,4,0,6,5.4
55,119,2550,17.5,112,-2,17.2,41,146.6005164,355,1,0,-3,-0.9
54,119.5,2550,16.5,128.5,-1,18.95,36,153.9305422,336,-4,0,-5,-4.9
56,120,2550,18.5,147,2,23.1,39,90,328,-1,0,3,0.9
60,120.5,2550,22.5,169.5,4,27.95,50,90,326,10,0,11,11.5
57,121,2550,19.5,189,-3,25.2,40,90,326,0,0,-10,-5
64,121.5,2550,26.5,215.5,7,35.65,35,94.5,338,-5,0,-5,-5.5
66,122,2550,28.5,244,2,36.8,40,99.225,336,0,0,5,2.5
67,122.5,2550,29.5,273.5,1,39.65,44,104.18625,340,4,0,4,4.4
27,123,2550,-10.5,0,-40,-24.2,39,109.3955625,443,-1,0,-5,-3.1
5,123.5,2550,-32.5,-32.5,-22,-27.25,39,114.8653406,443,-1,0,0,-0.6
19,124,2550,-18.5,-51,14,-5.5,43,120.6086077,383,3,0,4,3.8
47,90,326,9.5,0,28,17.8,37,126.639038,382,-3,0,-6,-4.8
30,90.5,2550,-7.5,0,-17,-11.5,51,132.9709899,382,11,0,14,13.6
19,91,2550,-18.5,-18.5,-11,-14.75,62,139.6195394,403,22,22,11,20.9
33,91.5,2550,-4.5,0,14,5.2,63,146.6005164,403,23,45,1,18.8
39,92,2550,1.5,0,6,3.6,66,153.9305422,397,26,71,3,24.2
38,92.5,2550,0.5,0,-1,-0.3,70,161.6270693,410,30,101,4,30.1
36,93,2550,-1.5,0,-2,-1.6,73,90,420,33,134,3,34.7
40,93.5,2550,2.5,0,4,3,75,90,420,35,169,2,38.9
40,94,2550,2.5,0,0,1,59,90,1363,19,188,-16,22.2
42,94.5,2550,4.5,0,2,2.8,50,90,340,10,198,-9,21.3
41,95,2550,3.5,0,-1,0.9,13,90,376,-27,0,-37,-34.7
43,95.5,2550,5.5,0,2,3.2,62,94.5,374,22,0,49,37.7
38,96,2550,0.5,0,-5,-2.3,75,90,326,35,35,13,31
33,96.5,2550,-4.5,0,-5,-4.3,39,94.5,370,-1,0,-36,-18.6
35,97,2550,-2.5,0,2,0,47,99.225,374,7,0,8,8.2
33,97.5,2550,-4.5,0,-2,-2.8,61,104.18625,370,21,21,14,21.7
53,98,2550,15.5,0,20,16.2,55,109.3955625,2550,15,36,-6,9.6
41,98.5,2550,3.5,0,-12,-4.6,54,114.8653406,2550,14,50,-1,12.9
22,99,2550,-15.5,0,-19,-15.7,51,120.6086077,370,11,61,-3,11.2
38,99.5,2550,0.5,0,16,8.2,62,126.639038,2550,22,83,11,27
45,100,2550,7.5,0,7,6.5,59,132.9709899,357,19,102,-3,20.1
30,100.5,2550,-7.5,0,-15,-10.5,53,90,336,13,115,-6,16.3
31,101,2550,-6.5,0,1,-2.1,47,90,357,7,0,-6,1.2
38,101.5,2550,0.5,0,7,3.7,53,90,329,13,13,6,12.1
38,102,2550,0.5,0,0,0.2,61,94.5,347,21,34,8,20
31,102.5,2550,-6.5,0,-7,-6.1,57,99.225,353,17,51,-4,13.3
40,103,2550,2.5,0,9,5.5,63,104.18625,336,23,74,6,24.2
42,103.5,2550,4.5,0,2,2.8,62,90,330,22,96,-1,22.3
32,104,2550,-5.5,0,-10,-7.2,59,90,324,19,115,-3,21.4
37,104.5,2550,-0.5,0,5,2.3,39,90,321,-1,0,-20,-10.6
47,105,2550,9.5,0,10,8.8,59,90,326,19,0,20,21.4
43,105.5,2550,5.5,0,-4,0.2,66,90,321,26,26,7,21.7
31,106,2550,-6.5,0,-12,-8.6,24,90,321,-16,0,-42,-30.6
38,106.5,2550,0.5,0,7,3.7,56,90,326,16,0,32,25.6
45,107,2550,7.5,0,7,6.5,67,90,321,27,27,11,24.4
43,107.5,2550,5.5,0,-2,1.2,19,90,330,-21,0,-48,-36.6
33,108,2550,-4.5,0,-10,-6.8,43,94.5,336,3,0,24,13.8
38,108.5,2550,0.5,0,5,2.7,62,90,329,22,22,19,24.9
44,109,2550,6.5,0,6,5.6,29,94.5,340,-11,0,-33,-23.1
39,109.5,2550,1.5,0,-5,-1.9,32,90,321,-8,0,3,-3.3
42,110,2550,4.5,0,3,3.3,50,94.5,348,10,0,18,15
38,110.5,2550,0.5,0,-4,-1.8,39,90,321,-1,0,-11,-6.1
30,111,2550,-7.5,0,-8,-7,46,94.5,340,6,0,7,7.1
36,111.5,2550,-1.5,0,6,2.4,44,99.225,349,4,0,-2,1.4
40,112,2550,2.5,0,4,3,42,90,321,2,0,-2,0.2
35,112.5,2550,-2.5,0,-5,-3.5,43,94.5,357,3,0,1,2.3
36,113,2550,-1.5,0,1,-0.1,45,90,326,5,0,2,4
39,113.5,2550,1.5,0,3,2.1,46,90,326,6,0,1,4.1
38,114,2550,0.5,0,-1,-0.3,35,94.5,365,-5,0,-11,-8.5
42,114.5,2550,4.5,0,4,3.8,43,99.225,345,3,0,8,5.8
34,115,2550,-3.5,0,-8,-5.4,45,104.18625,357,5,0,2,4
34,115.5,2550,-3.5,0,0,-1.4,27,109.3955625,355,-13,0,-18,-16.8
39,116,2550,1.5,0,5,3.1,43,114.8653406,357,3,0,16,9.8
36,116.5,2550,-1.5,0,-3,-2.1,51,120.6086077,355,11,11,8,11.7
33,117,2550,-4.5,0,-3,-3.3,41,126.639038,357,1,0,-10,-4.4
41,117.5,2550,3.5,0,8,5.4,32,132.9709899,357,-8,0,-9,-9.3
38,118,2550,0.5,0,-3,-1.3,45,139.6195394,347,5,0,13,9.5
