,,,,,,,,,,,,,
81,1793,130,43.5,43.5,9,26.25,57,666,99.225,17,0,54,37.2
59,1793,130,21.5,65,-22,4.1,79,685,104.18625,39,39,22,38.3
8,1793,130,-29.5,0,-51,-37.3,73,697,109.3955625,33,72,-6,24
11,1793,130,-26.5,-26.5,3,-11.75,61,693,114.8653406,21,93,-12,15.9
70,1793,130,32.5,0,59,42.5,33,679,120.6086077,-7,0,-28,-18.2
68,1793,130,30.5,30.5,-2,14.25,18,651,126.639038,-22,-22,-15,-22.9
14,1793,130,-23.5,0,-54,-36.4,63,639,132.9709899,23,0,45,36.3
6,1793,130,-31.5,-31.5,-8,-19.75,74,705,139.6195394,34,34,11,29.3
67,1793,130,29.5,0,61,42.3,48,697,146.6005164,8,0,-26,-8.2
80,326,80,42.5,42.5,13,27.75,6,668,153.9305422,-34,0,-42,-41.4
49,326,80,11.5,54,-31,-5.5,5,643,161.6270693,-35,-35,-1,-25
10,1607,80.5,-27.5,0,-39,-30.5,65,668,165,25,0,60,45
30,1580,81,-7.5,0,20,7,62,658,165,22,22,-3,13.9
69,1740,81.5,31.5,0,39,32.1,44,624,165,4,0,-18,-6.6
50,1536,82,12.5,12.5,-19,-3.25,25,609,165,-15,0,-19,-18.5
8,1529,82.5,-29.5,0,-42,-32.8,28,563,165,-12,-12,3,-6.9
6,1503,83,-31.5,-31.5,-2,-16.75,53,573,165,13,0,25,20.3
61,2155,83.5,23.5,0,55,36.9,60,553,165,20,20,7,17.5
72,2130,84,34.5,34.5,11,22.75,18,569,165,-22,0,-42,-34.2
8,1490,84.5,-29.5,0,-64,-43.8,5,555,165,-35,-35,-13,-31
5,1468,85,-32.5,-32.5,-3,-17.75,70,534,165,30,0,65,50.5
38,1426,85.5,0.5,0,33,16.7,81,537,165,41,41,11,34.2
46,1404,86,8.5,0,8,7.4,76,519,165,36,77,-5,26.8
22,1464,86.5,-15.5,0,-24,-18.2,17,517,165,-23,0,-59,-43.3
11,1438,87,-26.5,-26.5,-11,-18.75,5,479,165,-35,-35,-12,-30.5
50,1397,87.5,12.5,0,39,24.5,18,481,165,-22,-57,13,-12.4
74,1252,88,36.5,36.5,24,30.25,65,479,165,25,0,47,38.5
30,1351,88.5,-7.5,0,-44,-25,79,447,165,39,39,14,34.3
14,1464,89,-23.5,-23.5,-16,-19.75,55,445,165,15,54,-24,2.4
13,1361,89.5,-24.5,-48,-1,-15.1,11,429,165,-29,0,-44,-39.4
66,1330,90,28.5,0,53,37.9,4,436,165,-36,-36,-7,-28.7
78,1174,90.5,40.5,40.5,12,26.25,24,428,165,-16,-52,20,-4.8
72,1330,91,34.5,75,-6,18.3,64,389,165,24,0,40,34.4
53,1406,91.5,15.5,90.5,-19,5.75,64,404,165,24,24,0,16.8
39,1380,92,1.5,0,-14,-6.4,53,357,165,13,37,-11,6
70,1370,92.5,32.5,32.5,31,31.75,14,340,165,-26,0,-39,-35.1
82,1378,93,44.5,77,12,31.5,11,321,90,-29,-29,-3,-21.8
80,1343,93.5,42.5,119.5,-2,27.95,53,321,90,13,0,42,28.8
61,1332,94,23.5,143,-19,14.2,60,334,94.5,20,20,7,17.5
16,2550,94.5,-21.5,0,-45,-31.1,33,338,99.225,-7,0,-27,-17.7
12,2550,95,-25.5,-25.5,-4,-14.75,13,376,104.18625,-27,-27,-20,-28.9
81,1336,95.5,43.5,0,69,51.9,34,357,109.3955625,-6,0,21,6.9
79,1309,96,41.5,41.5,-2,19.75,67,326,90,27,0,33,32.7
81,1278,96.5,43.5,85,2,26.9,74,328,90,34,34,7,27.3
80,2550,97,42.5,127.5,-1,29.25,69,357,94.5,29,63,-5,21.2
79,2550,97.5,41.5,169,-1,33,23,321,90,-17,0,-46,-33.2
69,2550,98,31.5,200.5,-10,27.65,5,392,94.5,-35,-35,-18,-33.5
15,2550,98.5,-22.5,0,-54,-36,19,340,99.225,-21,-56,14,-11.2
14,2550,99,-23.5,-23.5,-1,-12.25,66,340,104.18625,26,0,47,39.1
80,2550,99.5,42.5,0,66,50,67,321,90,27,27,1,19.4
78,2550,100,40.5,40.5,-2,19.25,50,340,94.5,10,37,-17,1.2
69,2550,100.5,31.5,72,-9,15.3,29,321,90,-11,0,-21,-17.1
57,2550,101,19.5,91.5,-12,10.95,20,326,90,-20,-20,-9,-18.5
46,2550,101.5,8.5,0,-11,-2.1,53,329,90,13,0,33,24.3
60,2550,102,22.5,22.5,14,18.25,71,383,94.5,31,31,18,30.7
75,2550,102.5,37.5,60,15,28.5,67,357,99.225,27,58,-4,20
65,2550,103,27.5,87.5,-10,14.75,17,340,104.18625,-23,0,-50,-38.8
43,2550,103.5,5.5,0,-22,-8.8,4,329,90,-36,-36,-13,-31.7
67,2550,104,29.5,29.5,24,26.75,6,389,94.5,-34,-70,2,-26.4
76,1267,104.5,38.5,68,9,26.7,47,408,99.225,7,0,41,24.7
74,2550,105,36.5,104.5,-2,24.05,72,408,104.18625,32,32,25,34.9
68,2550,105.5,30.5,135,-6,22.7,71,2550,109.3955625,31,63,-1,24.4
56,2550,106,18.5,153.5,-12,16.75,38,353,114.8653406,-2,0,-33,-17.7
44,2550,106.5,6.5,0,-12,-3.4,5,340,120.6086077,-35,-35,-33,-41
55,2550,107,17.5,17.5,11,14.25,14,345,126.639038,-26,-61,9,-17.2
76,2550,107.5,38.5,56,21,31.5,75,1316,132.9709899,35,0,61,51.5
73,2550,108,35.5,91.5,-3,21.85,74,939,139.6195394,34,34,-1,23.3
67,2550,108.5,29.5,121,-6,20.9,75,1299,146.6005164,35,69,1,28.4
58,2550,109,20.5,141.5,-9,17.85,81,1389,153.9305422,41,110,6,38.6
35,2550,109.5,-2.5,0,-23,-12.5,82,1993,90,42,152,1,40.9
41,2550,110,3.5,0,6,4.4,77,1944,90,37,189,-5,38.6
61,2550,110.5,23.5,23.5,20,21.75,41,1944,90,1,0,-36,-17.4
39,2550,111,1.5,0,-22,-10.4,5,389,94.5,-35,0,-36,-39
17,2550,111.5,-20.5,0,-22,-19.2,18,353,99.225,-22,-22,13,-8.9
58,2550,112,20.5,0,41,28.7,75,404,104.18625,35,0,57,49.5
79,2550,112.5,41.5,41.5,21,31.25,78,2550,109.3955625,38,38,3,28.1
37,2550,113,-0.5,0,-42,-21.2,86,2550,114.8653406,46,84,8,40
5,2471,113.5,-32.5,-32.5,-32,-32.25,74,383,120.6086077,34,118,-12,26.2
41,2412,114,3.5,0,36,19.4,89,383,90,49,167,15,53.6
71,2550,114.5,33.5,33.5,30,31.75,46,2550,90,6,0,-43,-17.9
21,2550,115,-16.5,0,-50,-31.6,6,326,90,-34,0,-40,-40.4
5,2550,115.5,-32.5,-32.5,-16,-24.25,6,391,94.5,-34,-34,0,-23.8
15,2367,116,-22.5,-55,10,-9.5,69,393,99.225,29,0,63,48.9
53,2378,116.5,15.5,0,38,25.2,72,2550,104.18625,32,32,3,23.9
67,2271,117,29.5,29.5,14,21.75,59,326,90,19,51,-13,10
24,2550,117.5,-13.5,0,-43,-26.9,42,392,94.5,2,0,-17,-7.3
6,2299,118,-31.5,-31.5,-18,-24.75,43,435,99.225,3,0,1,2.3
49,2213,118.5,11.5,0,43,26.1,65,2550,104.18625,25,25,22,28.5
70,2550,119,32.5,32.5,21,26.75,68,418,109.3955625,28,53,3,23.6
33,2550,119.5,-4.5,0,-37,-20.3,66,418,114.8653406,26,79,-2,22.5
6,2550,120,-31.5,-31.5,-27,-29.25,67,404,120.6086077,27,106,1,27.3
35,2214,120.5,-2.5,0,29,13.5,68,425,90,28,134,1,30.7
74,2181,121,36.5,0,39,34.1,68,447,90,28,162,0,33
52,2550,121.5,14.5,14.5,-22,-3.75,59,397,90,19,181,-9,25
6,2132,122,-31.5,0,-46,-35.6,10,384,90,-30,0,-49,-42.5
32,2114,122.5,-5.5,0,26,10.8,4,393,94.5,-36,-36,-6,-28.2
77,2550,123,39.5,0,45,38.3,67,411,99.225,27,0,63,47.7
60,2382,123.5,22.5,22.5,-17,2.75,69,420,104.18625,29,29,2,21.3
8,2366,124,-29.5,0,-52,-37.8,66,404,109.3955625,26,55,-3,19.6
14,2231,124.5,-23.5,-23.5,6,-8.75,62,384,114.8653406,22,77,-4,18.9
78,2185,125,40.5,0,64,48.2,56,401,120.6086077,16,93,-6,15.9
74,1989,125.5,36.5,36.5,-4,16.25,54,411,126.639038,14,107,-2,18.1
5,1927,126,-32.5,0,-69,-47.5,40,420,90,0,0,-14,-7
5,1909,126.5,-32.5,-32.5,0,-16.25,21,403,94.5,-19,-19,-19,-22.8
67,1892,127,29.5,0,62,42.8,41,404,99.225,1,0,20,10.6
77,1900,127.5,39.5,39.5,10,24.75,67,412,104.18625,27,27,26,31.9
11,1843,128,-26.5,0,-66,-43.6,61,425,109.3955625,21,48,-6,14.4
6,1829,128.5,-31.5,-31.5,-5,-18.25,12,427,114.8653406,-28,0,-49,-41.3
42,1805,129,4.5,0,36,19.8,6,435,120.6086077,-34,-34,-6,-26.8
68,1791,129.5,30.5,30.5,26,28.25,82,439,126.639038,42,0,76,63.2
33,1771,130,-4.5,0,-35,-19.3,77,439,132.9709899,37,37,-5,23.4
9,1748,130,-28.5,-28.5,-24,-26.25,66,436,139.6195394,26,63,-11,16.4
11,1730,130,-26.5,-55,2,-15.1,35,443,146.6005164,-5,0,-31,-18.5
57,1706,130,19.5,0,46,30.8,14,447,153.9305422,-26,-26,-21,-28.7
69,1694,130,31.5,31.5,12,21.75,34,420,161.6270693,-6,0,20,6.4
16,1671,130,-21.5,0,-53,-35.1,69,431,165,29,0,35,34.9
5,1656,130,-32.5,-32.5,-11,-21.75,66,420,165,26,26,-3,16.7
73,1627,130,35.5,0,68,48.2,6,425,165,-34,0,-60,-50.4
75,1611,130,37.5,37.5,2,19.75,5,418,165,-35,-35,-1,-25
22,1588,130,-15.5,0,-53,-32.7,8,391,165,-32,-67,3,-24.4
5,1567,130,-32.5,-32.5,-17,-24.75,58,397,165,18,0,50,35.8
65,1551,130,27.5,0,60,41,69,392,165,29,29,11,25.8
73,1535,130,35.5,35.5,8,21.75,70,382,165,30,59,1,24.4
17,1512,130,-20.5,0,-56,-36.2,15,393,165,-25,0,-55,-42.5
6,1489,130,-31.5,-31.5,-11,-21.25,5,355,165,-35,-35,-10,-29.5
59,1482,130,21.5,0,53,35.1,25,338,165,-15,-50,20,-4
72,1448,130,34.5,34.5,13,23.75,73,376,165,33,0,48,43.8
18,1421,130,-19.5,0,-54,-34.8,71,321,90,31,31,-2,20.7
5,1399,130,-32.5,-32.5,-13,-22.75,64,353,94.5,24,55,-7,16.4
64,1376,130,26.5,0,59,40.1,44,340,99.225,4,0,-20,-7.6
76,1360,130,38.5,38.5,12,25.25,17,345,104.18625,-23,0,-27,-27.3
15,1360,130,-22.5,0,-61,-39.5,25,410,109.3955625,-15,-15,8,-6.5
16,1360,130,-21.5,-21.5,1,-10.25,68,380,114.8653406,28,0,43,38.3
77,1360,130,39.5,0,61,46.3,68,370,120.6086077,28,28,0,19.6
78,1360,130,40.5,40.5,1,20.75,14,364,126.639038,-26,0,-54,-42.6
79,1360,130,41.5,82,1,25.3,5,392,132.9709899,-35,-35,-9,-29
81,1246,130,43.5,125.5,2,30.95,50,410,139.6195394,10,0,45,28.5
79,1219,130,41.5,167,-2,32.3,71,380,146.6005164,31,31,21,32.2
79,1199,130,41.5,208.5,0,37.45,55,376,153.9305422,15,46,-16,5.6
79,1187,130,41.5,250,0,41.6,13,437,161.6270693,-27,0,-42,-37.2
76,1183,130,38.5,288.5,-3,42.75,9,361,165,-31,-31,-4,-23.7
77,1164,130,39.5,328,1,49.1,56,366,165,16,0,47,33.1
75,1866,130,37.5,365.5,-2,50.55,78,347,165,38,38,22,37.6
5,1842,130,-32.5,0,-70,-48,16,411,165,-24,0,-62,-45.4
5,1817,130,-32.5,-32.5,0,-16.25,4,348,165,-36,-36,-12,-31.2
10,1801,130,-27.5,-60,5,-14.5,9,326,90,-31,-67,5,-22.8
20,1779,130,-17.5,-77.5,10,-9.75,50,326,90,10,0,41,26.5
66,1767,130,28.5,0,46,34.4,62,355,94.5,22,22,12,21.4
70,1752,130,32.5,32.5,4,18.25,59,329,90,19,41,-3,14
71,1726,130,33.5,66,1,20.5,29,357,94.5,-11,0,-30,-21.6
71,1706,130,33.5,99.5,0,23.35,10,353,99.225,-30,-30,-19,-30.5
69,1688,130,31.5,131,-2,24.7,39,361,104.18625,-1,0,29,13.9
74,1662,130,36.5,167.5,5,33.85,66,412,109.3955625,26,0,27,29.1
76,1648,130,38.5,206,2,37,58,411,114.8653406,18,18,-8,8.6
37,1638,130,-0.5,0,-39,-19.7,30,382,120.6086077,-10,0,-28,-20
23,1625,130,-14.5,-14.5,-14,-14.25,21,393,126.639038,-19,-19,-9,-17.8
78,1597,130,40.5,0,55,43.7,49,428,132.9709899,9,0,28,19.4
80,1581,130,42.5,42.5,2,22.25,67,416,139.6195394,27,27,18,27.9
80,1569,130,42.5,85,0,25.5,24,473,146.6005164,-16,0,-43,-31.1
78,1563,130,40.5,125.5,-2,27.75,5,473,153.9305422,-35,-35,-19,-34
79,1551,130,41.5,167,1,33.8,68,473,161.6270693,28,0,63,48.3
75,2550,130,37.5,204.5,-4,33.45,73,1288,165,33,33,5,25.6
73,2550,130,35.5,240,-2,37.2,75,1288,165,35,68,2,28.8
44,2550,130,6.5,0,-29,-11.9,75,1232,165,35,103,0,31.3
5,2550,130,-32.5,0,-39,-32.5,74,1201,90,34,137,-1,33.6
5,2550,130,-32.5,-32.5,0,-16.25,75,1183,90,35,172,1,38.7
29,2550,130,-8.5,0,24,8.6,74,1171,90,34,206,-1,40.5
42,2550,130,4.5,0,13,8.3,77,1171,90,37,243,3,48
24,2550,130,-13.5,0,-18,-14.4,69,1152,90,29,272,-8,40.6
10,2550,130,-27.5,-27.5,-14,-20.75,66,1152,90,26,298,-3,43.9
50,2550,130,12.5,0,40,25,81,1152,90,41,339,15,66
69,2550,130,31.5,31.5,19,25.25,66,427,90,26,365,-15,44.6
14,2550,130,-23.5,0,-55,-36.9,48,399,90,8,0,-18,-4.2
4,2550,130,-33.5,-33.5,-10,-21.75,13,416,94.5,-27,0,-35,-33.7
48,2550,130,10.5,0,44,26.2,6,420,99.225,-34,-34,-7,-27.3
68,2550,130,30.5,30.5,20,25.25,6,416,104.18625,-34,-68,0,-27.2
50,2550,130,12.5,43,-18,0.3,5,424,109.3955625,-35,-103,-1,-31.8
7,2550,130,-30.5,0,-43,-33.7,31,469,90,-9,0,26,7.6
12,2550,130,-25.5,-25.5,5,-10.25,60,469,94.5,20,0,29,26.5
55,2550,130,17.5,0,43,28.5,64,469,99.225,24,24,4,18.8
58,1876,130,20.5,20.5,3,11.75,63,184,90,23,47,-1,18
15,2550,130,-22.5,0,-43,-30.5,64,184,90,24,71,1,22
7,2550,130,-30.5,-30.5,-8,-19.25,62,185,90,22,93,-2,21.5
58,2380,130,20.5,0,51,33.7,64,179,90,24,117,2,27.1
73,2550,130,35.5,35.5,15,25.25,66,166,90,26,143,2,30.9
46,2495,130,8.5,0,-27,-10.1,38,162,90,-2,0,-28,-15.2
8,1762,130,-29.5,0,-38,-30.8,8,166,0,-2,0,-28,-15.2
32,1726,130,-5.5,0,24,9.8,24,170,0,-2,0,-28,-15.2
83,2550,130,45.5,0,51,43.7,33,174,0,-2,0,-28,-15.2
43,1687,130,5.5,0,-40,-17.8,34,184,0,-2,0,-28,-15.2
5,1668,130,-32.5,0,-38,-32,34,205,0,-2,0,-28,-15.2
8,1648,130,-29.5,-29.5,3,-13.25,34,220,0,-2,0,-28,-15.2
45,2350,130,7.5,0,37,21.5,34,321,90,-6,0,-4,-5.6
66,2288,130,28.5,28.5,21,24.75,37,243,90,-3,0,3,-0.3
17,1603,130,-20.5,0,-49,-32.7,70,225,90,30,0,33,34.5
5,1566,130,-32.5,-32.5,-12,-22.25,71,212,90,31,31,1,22.2
52,1577,130,14.5,0,47,29.3,71,213,90,31,62,0,24.8
76,1557,130,38.5,38.5,24,31.25,72,217,90,32,94,1,29.1
17,1520,130,-20.5,0,-59,-37.7,63,217,90,23,117,-9,21
6,1520,130,-31.5,-31.5,-11,-21.25,28,221,0,23,117,-9,21
41,1520,130,3.5,0,35,18.9,11,219,0,23,117,-9,21
57,1520,130,19.5,19.5,16,17.75,10,233,0,23,117,-9,21
16,1520,130,-21.5,0,-41,-29.1,10,271,0,23,117,-9,21
7,1520,130,-30.5,-30.5,-9,-19.75,10,321,90,-30,0,-53,-44.5
66,1520,130,28.5,0,59,40.9,16,321,90,-24,-24,6,-13.8
78,1520,130,40.5,40.5,12,26.25,71,321,90,31,0,55,46.1
7,1520,130,-30.5,0,-71,-47.7,69,326,90,29,29,-2,19.3
6,1366,130,-31.5,-31.5,-1,-16.25,63,259,90,23,52,-6,16
38,1490,130,0.5,0,32,16.2,46,271,90,6,0,-17,-4.9
64,1490,130,26.5,26.5,26,26.25,19,271,90,-21,0,-27,-26.1
25,1420,130,-12.5,0,-39,-24.5,20,281,90,-20,-20,1,-13.5
6,1421,130,-31.5,-31.5,-19,-25.25,54,294,90,14,0,34,25.4
48,1397,130,10.5,0,42,25.2,65,322,90,25,25,11,23
75,1413,130,37.5,37.5,27,32.25,55,326,90,15,40,-10,8
36,2550,130,-1.5,0,-39,-20.1,27,326,90,-13,0,-28,-21.8
6,1468,130,-31.5,-31.5,-30,-30.75,15,340,94.5,-25,-25,-12,-23.5
33,2550,130,-4.5,0,27,11.7,39,340,99.225,-1,0,24,11.4
75,1341,130,37.5,0,42,36,62,345,104.18625,22,0,23,24.7
61,2343,130,23.5,23.5,-14,4.75,55,347,109.3955625,15,15,-7,7
17,1716,130,-20.5,0,-44,-30.2,25,348,114.8653406,-15,0,-30,-24
10,1305,130,-27.5,-27.5,-7,-17.25,15,349,120.6086077,-25,-25,-10,-22.5
79,1262,130,41.5,0,69,51.1,54,338,126.639038,14,0,39,27.9
74,1227,130,36.5,36.5,-5,15.75,65,334,132.9709899,25,25,11,23
70,2261,130,32.5,69,-4,17.9,55,330,90,15,40,-10,8
69,2243,130,31.5,100.5,-1,22.15,26,330,90,-14,0,-29,-22.9
68,2243,130,30.5,131,-1,24.8,16,329,90,-24,-24,-10,-21.8
71,2243,130,33.5,164.5,3,31.35,27,338,94.5,-13,-37,11,-6
72,1942,130,34.5,199,1,34.2,51,334,99.225,11,0,24,18.6
75,1160,130,37.5,236.5,3,40.15,58,353,104.18625,18,18,7,16.1
79,1121,130,41.5,278,4,46.4,33,374,109.3955625,-7,0,-25,-16.7
61,1092,130,23.5,301.5,-18,30.55,13,401,114.8653406,-27,-27,-20,-28.9
6,1080,130,-31.5,0,-55,-40.1,31,412,120.6086077,-9,0,18,3.6
13,1058,130,-24.5,-24.5,7,-8.75,68,871,126.639038,28,0,37,35.3
82,1036,130,44.5,0,69,52.3,70,460,132.9709899,30,30,2,22
78,1024,130,40.5,40.5,-4,18.25,36,847,139.6195394,-4,0,-34,-19.4
61,1000,130,23.5,64,-17,7.3,8,847,146.6005164,-32,-32,-28,-36.4
49,998,130,11.5,75.5,-12,6.15,26,831,153.9305422,-14,-46,18,-4
67,978,130,29.5,105,18,31.3,71,835,161.6270693,31,0,45,41.1
77,976,130,39.5,144.5,10,35.25,75,796,165,35,35,4,26.5
45,2550,130,7.5,0,-32,-13,40,796,165,0,0,-35,-17.5
16,2550,130,-21.5,0,-29,-23.1,10,772,165,-30,-30,-30,-36
79,2550,130,41.5,0,63,48.1,9,764,165,-31,-61,-1,-25.2
79,2018,130,41.5,41.5,0,20.75,63,788,165,23,0,54,40.8
76,2550,130,38.5,80,-3,21.9,69,780,165,29,29,6,23.3
78,853,130,40.5,120.5,2,29.25,64,750,165,24,53,-5,17.2
79,827,130,41.5,162,1,33.3,45,788,165,5,0,-19,-6.5
79,826,130,41.5,203.5,0,36.95,13,762,165,-27,0,-32,-32.2
78,2550,130,40.5,244,-1,40.1,25,762,165,-15,-15,12,-4.5
74,2550,130,36.5,280.5,-4,40.65,67,861,165,27,0,42,37.2
72,2550,130,34.5,315,-2,44.3,62,748,165,22,22,-5,12.9
68,2550,130,30.5,345.5,-4,44.75,8,748,165,-32,0,-54,-46.2
9,2550,130,-28.5,0,-59,-40.9,5,748,165,-35,-35,-3,-26
5,2550,130,-32.5,-32.5,-4,-18.25,60,2550,165,20,0,55,39.5
5,2485,130,-32.5,-65,0,-19.5,79,2550,165,39,39,19,36.8
5,2449,130,-32.5,-97.5,0,-22.75,50,921,165,10,49,-29,-3.6
6,2431,130,-31.5,-129,1,-25,10,921,165,-30,0,-40,-38
29,2404,130,-8.5,0,23,8.1,5,2097,165,-35,-35,-5,-27
74,2374,130,36.5,0,45,37.1,26,2550,165,-14,-49,21,-2.8
72,2359,130,34.5,34.5,-2,16.25,59,872,165,19,0,33,27.9
6,2351,130,-31.5,0,-66,-45.6,70,794,165,30,30,11,26.5
5,2342,130,-32.5,-32.5,-1,-16.75,53,762,165,13,43,-17,3.6
49,2313,130,11.5,0,44,26.6,17,978,165,-23,0,-36,-31.8
53,2297,130,15.5,15.5,4,9.75,15,978,165,-25,-25,-2,-18.5
18,2290,130,-19.5,0,-35,-25.3,65,947,165,25,0,50,40
14,2267,130,-23.5,-23.5,-4,-13.75,70,894,165,30,30,5,23.5
67,2249,130,29.5,0,53,38.3,73,887,165,33,63,3,27.6
74,2249,130,36.5,36.5,7,21.75,64,865,165,24,87,-9,18.6
41,2231,130,3.5,0,-33,-15.1,49,856,165,9,0,-15,-2.1
15,2550,130,-22.5,0,-26,-22,54,856,165,14,14,5,12.3
43,2550,130,5.5,0,28,16.2,60,1551,165,20,34,6,18.4
73,2550,130,35.5,35.5,30,32.75,64,1507,165,24,58,4,22.2
30,2550,130,-7.5,0,-43,-24.5,74,1154,165,34,92,10,34.6
9,2550,130,-28.5,-28.5,-21,-24.75,77,1127,165,37,129,3,36.6
47,2550,130,9.5,0,38,22.8,82,1119,90,42,171,5,44.8
68,2550,130,30.5,30.5,21,25.75,78,1054,90,38,209,-4,41.7
14,2550,130,-23.5,0,-54,-36.4,78,1038,90,38,247,0,47.5
5,2550,130,-32.5,-32.5,-9,-20.75,77,1024,90,37,284,-1,50.1
41,2550,130,3.5,0,36,19.4,78,1012,90,38,322,1,55.5
69,2550,130,31.5,31.5,28,29.75,38,1028,90,-2,0,-40,-21.2
33,2550,130,-4.5,0,-36,-19.8,6,2550,94.5,-34,-34,-32,-39.8
5,2550,130,-32.5,-32.5,-28,-30.25,5,2550,99.225,-35,-69,-1,-28.4
26,2550,130,-11.5,-44,21,1.5,5,2550,104.18625,-35,-104,0,-31.4
74,2550,130,36.5,0,48,38.6,22,2550,90,-18,-122,17,-14.5
71,2550,130,33.5,33.5,-3,15.25,74,2550,90,34,0,52,46.4
8,2550,130,-29.5,0,-63,-43.3,74,2550,94.5,34,34,0,23.8
5,2550,130,-32.5,-32.5,-3,-17.75,73,2550,99.225,33,67,-1,26
58,2550,130,20.5,0,53,34.7,72,2550,104.18625,32,99,-1,28.6
70,2550,130,32.5,32.5,12,22.25,74,2550,109.3955625,34,133,2,34.7
28,2550,130,-9.5,0,-42,-24.8,68,901,90,28,161,-6,29.9
8,2550,130,-29.5,-29.5,-20,-24.75,52,762,90,12,173,-16,16.5
47,2253,130,9.5,0,39,23.3,21,762,90,-19,0,-31,-26.9
72,1839,130,34.5,34.5,25,29.75,8,762,94.5,-32,-32,-13,-28.9
28,1821,130,-9.5,0,-44,-25.8,75,762,99.225,35,0,67,54.5
5,2550,130,-32.5,-32.5,-23,-27.75,82,825,104.18625,42,42,7,32.9
39,2550,130,1.5,0,34,17.6,58,757,109.3955625,18,60,-24,4.8
68,1794,130,30.5,30.5,29,29.75,68,757,114.8653406,28,88,10,30.6
22,1787,130,-15.5,0,-46,-29.2,62,757,120.6086077,22,110,-6,21.2
5,326,80,-32.5,-32.5,-17,-24.75,65,764,90,25,135,3,30
49,2550,80.5,11.5,0,44,26.6,64,764,90,24,159,-1,29.8
69,2550,81,31.5,31.5,20,25.75,66,749,90,26,185,2,35.1
29,1718,81.5,-8.5,0,-40,-23.4,52,750,90,12,197,-14,19.9
6,2550,82,-31.5,-31.5,-23,-27.25,11,750,90,-29,0,-41,-37.9
57,2550,82.5,19.5,0,51,33.3,5,740,94.5,-35,-35,-6,-27.5
78,2550,83,40.5,40.5,21,30.75,10,744,99.225,-30,-65,5,-22
60,2550,83.5,22.5,63,-18,6.3,56,754,104.18625,16,0,46,32.6
6,1657,84,-31.5,0,-54,-39.6,68,772,109.3955625,28,28,12,25.6
5,2550,84.5,-32.5,-32.5,-1,-16.75,58,772,114.8653406,18,46,-10,10.4
40,2550,85,2.5,0,35,18.5,20,730,120.6086077,-20,0,-38,-31
51,1632,85.5,13.5,13.5,11,12.25,6,728,126.639038,-34,-34,-14,-30.8
12,2550,86,-25.5,0,-39,-29.7,60,728,132.9709899,20,0,54,39
8,2550,86.5,-29.5,-29.5,-4,-16.75,71,728,139.6195394,31,31,11,27.2
69,1597,87,31.5,0,61,43.1,64,740,146.6005164,24,55,-7,16.4
75,2550,87.5,37.5,37.5,6,21.75,18,721,153.9305422,-22,0,-46,-36.2
11,1573,88,-26.5,0,-64,-42.6,5,718,161.6270693,-35,-35,-13,-31
5,2550,88.5,-32.5,-32.5,-6,-19.25,49,710,165,9,0,44,27.4
53,1559,89,15.5,0,48,30.2,69,661,165,29,29,20,30.3
80,1551,89.5,42.5,42.5,27,34.75,53,689,165,13,42,-16,4
